ARTEFACT	Artifact;Unknown;Unknown;Unknown
Satellite/centr	Tandem_Repeat;Satellite;Centromeric;Unknown
Satellite/macro	Tandem_Repeat;Satellite;Macro;Unknown
Satellite/subtelo	Tandem_Repeat;Satellite;Subtelomeric;Unknown
Satellite/W-chromosome	Tandem_Repeat;Satellite;W-chromosomal;Unknown
Satellite/Y-chromosome	Tandem_Repeat;Satellite;Y-chromosomal;Unknown
scRNA	Pseudogene;RNA;scRNA;Unknown
Segmental	Segmental_Duplication;Unknown;Unknown
Simple_repeat	Tandem_Repeat;Simple;Unknown;Unknown
SINE/ERV1	Class_I;LTR;ERV;SINE-like_ERV
SINE	Class_I;SINE;Unknown;Unknown
SINE/Unknown	Class_I;SINE;Unknown;Unknown
SINE/5S	Class_I;SINE;SINE-5S-RNA_Promoter;Unknown
SINE/5S-Deu-L2	Class_I;SINE;SINE-5S-RNA_Promoter;SINE-5S-Deu-L2-end
SINE/5S-Deu	Class_I;SINE;SINE-5S-RNA_Promoter;SINE-5S-Deu-core-Unknown_LINE-dependent
SINE/5S-Core-RTE	Class_I;SINE;SINE-5S-RNA_Promoter;SINE-5S-MIR-RTE-end
SINE/5S-RTE	Class_I;SINE;SINE-5S-RNA_Promoter;SINE-5S-Unknown_or_no_core-RTE-end
SINE/5S-Sauria-RTE	Class_I;SINE;SINE-5S-RNA_Promoter;SINE-5S-Sauria-RTE-end
SINE/7SL	Class_I;SINE;SINE-7SL-RNA_Promoter;Unknown
SINE/Alu	Class_I;SINE;SINE-7SL-RNA_Promoter;SINE-7SL-Alu
SINE/tRNA-5S	Class_I;SINE;SINE-tRNA_and_5S_RNA;SINE-tRNA-5S
SINE/tRNA-7SL	Class_I;SINE;SINE-tRNA_and_7SL_RNA;SINE-tRNA-7SL
SINE/B4	Class_I;SINE;SINE-tRNA_and_7SL_RNA;SINE-tRNA-B4
SINE/tRNA-Ceph-RTE	Class_I;SINE;SINE-tRNA_Promoter;SINE-tRNA-Ceph-RTE-end
SINE/tRNA-Ceph	Class_I;SINE;SINE-tRNA_Promoter;SINE-tRNA-Ceph
SINE/tRNA-Deu-CR1	Class_I;SINE;SINE-tRNA_Promoter;SINE-tRNA-Deu-CR1-end
